W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
nl27k process retrival by pcst
id: 4066
question: Question: catholic locatedat what?
Only output your answer without any explanation.
Answer: 
label: new
graph: Data(x=[454, 1024], edge_index=[2, 477], edge_attr=[477, 1024], num_nodes=454)
desc: src,edge_attr,dst
new,locatedat,haven
affiliate,locatedat,new
simple,locatedat,new
locus,locatedat,new
southeast,locatedat,new
act,locatedat,new
collection,locatedat,new
first_city,locatedat,new
haven,locatedat,new
agencies,locatedat,new
landmark,locatedat,new
research,locatedat,new
custom,locatedat,new
seven,locatedat,new
new,locatedat,zealand
part,locatedat,new
shops,locatedat,new
new,locatedat,more_years
aim,locatedat,new
nyc_,locatedat,new
government,locatedat,new
pacific_islands,locatedat,new
nyc,locatedat,new
good_news,locatedat,new
battle,locatedat,new

# train: 10241
# val: 0
# test: 0
